feature_name,current_lsl,current_target,current_usl,recommended_lsl,recommended_target,recommended_usl,target_shift,expected_yield_uplift,current_window_yield,recommended_window_yield,coverage_current,coverage_recommended,coverage_loss,recommendation_score,confidence_grade,reason_summary
metrology_x1,8.0,10.5,12.0,8.67974062215476,10.081814368151626,11.48388811414849,-0.4181856318483739,0.0026785529211386105,0.9248560490439972,0.9275346019651358,0.958,0.835,0.123,-0.05882144707886139,B,"현재 target=10.500, 모델 기반 optimum=10.082, -0.418 이동 권장. 추천 window 내 평균 yield 0.928 (현재 0.925, +0.003). coverage 0.96→0.83 (-12.3pp). tool/product 편향 없음. 특정 EDS item 개선 기여 미확인. Confidence B."
sensor_std_1,0.05,0.2,0.35,0.08183206833465899,0.22392058665829812,0.31390998159660294,0.023920586658298104,-2.8475480364997807e-05,0.9225502297223929,0.9225217542420279,0.9976666666666667,0.98,0.01766666666666672,-0.30886180881369835,B,"현재 target=0.200, 모델 기반 optimum=0.224, +0.024 이동 권장. 추천 window 내 평균 yield 0.923 (현재 0.923, -0.000). coverage 1.00→0.98 (-1.8pp). tool/product 추천 방향 편향 있음 (검토 필요). 특정 EDS item 개선 기여 미확인. Confidence B."
metrology_x2,4.0,5.0,6.5,3.8783132489079493,5.323367661167493,5.696284928847375,0.3233676611674934,0.0030575024021277653,0.9225483563925108,0.9256058587946385,0.976,0.9016666666666666,0.07433333333333336,-0.3341091642645389,B,"현재 target=5.000, 모델 기반 optimum=5.323, +0.323 이동 권장. 추천 window 내 평균 yield 0.926 (현재 0.923, +0.003). coverage 0.98→0.90 (-7.4pp). tool/product 추천 방향 편향 있음 (검토 필요). 특정 EDS item 개선 기여 미확인. Confidence B."
sensor_mean_1,0.8,1.0,1.2,0.7746932499914521,1.2001263641824815,1.248471036249644,0.20012636418248153,4.718795053881841e-05,0.9225489833303858,0.9225961712809246,0.9493333333333334,0.98,0.0,-0.7999528120494612,C,"현재 target=1.000, 모델 기반 optimum=1.200, +0.200 이동 권장. 추천 window 내 평균 yield 0.923 (현재 0.923, +0.000). coverage 0.95→0.98 (+3.1pp). tool/product 추천 방향 편향 있음 (검토 필요). 특정 EDS item 개선 기여 미확인. Confidence C."
vm_x2,45.0,50.0,55.0,45.53638792896059,53.66897035385277,54.803749296860985,3.668970353852771,-1.9692890047218192e-05,0.922439062885852,0.9224193699958048,0.9876666666666667,0.98,0.0076666666666667105,-0.8038530262233805,C,"현재 target=50.000, 모델 기반 optimum=53.669, +3.669 이동 권장. 추천 window 내 평균 yield 0.922 (현재 0.922, -0.000). coverage 0.99→0.98 (-0.8pp). tool/product 추천 방향 편향 있음 (검토 필요). 특정 EDS item 개선 기여 미확인. Confidence C."
metrology_x3,15.0,20.0,25.0,15.29508923804991,23.397823360106983,24.528437423649834,3.397823360106983,3.8994755895083166e-05,0.9225443497104052,0.9225833444663003,0.989,0.98,0.009000000000000008,-0.804461005244105,C,"현재 target=20.000, 모델 기반 optimum=23.398, +3.398 이동 권장. 추천 window 내 평균 yield 0.923 (현재 0.923, +0.000). coverage 0.99→0.98 (-0.9pp). tool/product 추천 방향 편향 있음 (검토 필요). 특정 EDS item 개선 기여 미확인. Confidence C."
sensor_slope_1,-0.15,0.0,0.15,-0.11639295513428823,0.05389333701682959,0.11538560918251106,0.05389333701682959,-5.4308647136736e-05,0.9225739887872696,0.9225196801401329,0.9983333333333333,0.98,0.018333333333333313,-0.8092209753138033,C,"현재 target=0.000, 모델 기반 optimum=0.054, +0.054 이동 권장. 추천 window 내 평균 yield 0.923 (현재 0.923, -0.000). coverage 1.00→0.98 (-1.8pp). tool/product 추천 방향 편향 있음 (검토 필요). 특정 EDS item 개선 기여 미확인. Confidence C."
sensor_max_1,1.0,1.5,2.0,1.1845606922402554,1.813845599708047,1.8269557019469593,0.31384559970804693,7.212614012963581e-05,0.9225145477470047,0.9225866738871343,0.9993333333333333,0.98,0.019333333333333313,-0.809594540526537,C,"현재 target=1.500, 모델 기반 optimum=1.814, +0.314 이동 권장. 추천 window 내 평균 yield 0.923 (현재 0.923, +0.000). coverage 1.00→0.98 (-1.9pp). tool/product 추천 방향 편향 있음 (검토 필요). 특정 EDS item 개선 기여 미확인. Confidence C."
vm_x1,90.0,100.0,110.0,95.27405910167047,104.21231415189014,107.09562223260616,4.212314151890141,0.004206352786252809,0.9225278057491451,0.9267341585353979,0.9996666666666667,0.9323333333333333,0.06733333333333336,-0.829460313880414,C,"현재 target=100.000, 모델 기반 optimum=104.212, +4.212 이동 권장. 추천 window 내 평균 yield 0.927 (현재 0.923, +0.004). coverage 1.00→0.93 (-6.7pp). tool/product 추천 방향 편향 있음 (검토 필요). 특정 EDS item 개선 기여 미확인. Confidence C."
